time,sugar
-0.024561403508771562, 20.53020503064891
0.9824561403508776, 18.743606002959204
1.9894736842105267, 17.10158528852251
2.9964912280701768, 15.604142887338828
4.003508771929825, 14.05850771507081
4.985964912280702, 13.091270344536037
5.992982456140352, 9.376960473472838
7.000000000000002, 5.277108433734938
7.9824561403508785, 2.044810822236311
8.989473684210529, 1.7521876981610625
9.996491228070177, 1.7005284295075
11.003508771929827, 1.6970619319382756
11.985964912280703, 1.6936799830902523
13.017543859649123, 1.6901289367998267
