time,biomass
0.024518388791593182, 0.4627175018360532
1.029772329246934, 0.49058669001751287
2.0105078809106827, 0.6000932150725946
3.0157618213660244, 0.7005430484153434
4.021015761821366, 1.2274041720806728
5.026269702276706, 1.6907572312298735
6.007005253940453, 2.108731498220439
7.012259194395797, 2.753536170272865
7.992994746059545, 2.9084055985537534
8.998248686514884, 3.226597367380373
10.003502626970224, 3.5266439749166705
10.984238178633973, 3.7903843709394938
11.989492119089316, 3.8001083978306296
12.99474605954466, 3.927775973108863
