time,ethanol
-0.022417207237965364, 0.7128712871287117
0.9927620348241719, 1.2871287128712865
1.9827039945373848, 1.4059405940594054
2.999842949812222, 2.792079207920793
4.0151177876408335, 3.4059405940594054
5.006493683851144, 4.118811881188119
5.999016729259134, 5.306930693069307
7.015868897234551, 6.574257425742575
8.009108910891088, 8.05940594059406
9.021133492659612, 7.326732673267327
10.012079207920792, 7.861386138613861
11.002307954933425, 8.099009900990099
12.01638784568112, 8.217821782178218
13.030467736428815, 8.336633663366337
