time,ethanol
0, 0.6868686868686869
1.0070175438596483, 2.2020202020202024
1.9894736842105267, 1.737373737373737
2.996491228070175, 2.8888888888888893
4.003508771929824, 3.2727272727272734
5.010526315789472, 3.5353535353535364
5.992982456140351, 6.868686868686869
6.999999999999999, 8.545454545454547
8.007017543859646, 9.373737373737375
8.989473684210527, 7.8989898989899
10.021052631578947, 7.8989898989899
11.003508771929823, 8.161616161616163
12.010526315789473, 8.202020202020202
13.017543859649123, 8.464646464646465
